X,Y,Z,Speed,E,Mode,NozzleTemp
210,270,-90,40,0,0,30
210,270,-90,2,10,0,30
90,120.5,-98.8,20,10,0,30
90,220.5,-98.8,20,11,0,30
96,220.5,-95,20,11,0,30
102,120.5,-98.8,20,11,0,30
102,220.5,-98.8,20,12.5,0,30
108,220.5,-95,20,12.5,0,30
114,120.5,-98.8,20,12.5,0,30
114,220.5,-98.8,20,14.5,0,30
120,220.5,-95,20,14.5,0,30
126,120.5,-98.8,20,14.5,0,30
126,220.5,-98.8,20,17,0,30
132,220.5,-95,20,17,0,30
138,120.5,-98.8,20,17,0,30
138,220.5,-98.8,25,17.8,0,30
144,220.5,-95,20,17.8,0,30
150,120.5,-98.8,20,17.8,0,30
150,220.5,-98.8,25,19,0,30
156,220.5,-95,20,19,0,30
162,120.5,-98.8,20,19,0,30
162,220.5,-98.8,25,20.6,0,30
168,220.5,-95,20,20.6,0,30
174,120.5,-98.8,20,20.6,0,30
174,220.5,-98.8,25,22.6,0,30
180,220.5,-95,20,22.6,0,30
210,0,0,40,22.6,0,30
