X,Y,Z,Speed,E,Mode,NozzleTemp
210,270,-90,40,0,0,30
210,270,-90,2,10,0,30
100,115,-98.8,20,10,0,30
100,165,-98.8,20,11,0,30
103,165,-95,20,11,0,30
103,115,-98.8,20,11,0,30
103,165,-98.8,20,12,0,30
106,165,-95,20,12,0,30
106,115,-98.8,20,12,0,30
106,165,-98.8,20,13,0,30
109,165,-95,20,13,0,30
109,115,-98.8,20,13,0,30
109,165,-98.8,20,14,0,30
112,165,-95,20,14,0,30
100,175,-98.8,20,14,0,30
100,225,-98.8,20,15,0,30
103,225,-95,20,15,0,30
103.5,175,-98.8,20,15,0,30
103.5,225,-98.8,20,16,0,30
106.5,225,-95,20,16,0,30
107,175,-98.8,20,16,0,30
107,225,-98.8,20,17,0,30
110,225,-95,20,17,0,30
110.5,175,-98.8,20,17,0,30
110.5,225,-98.8,20,18,0,30
113.5,225,-95,20,18,0,30
130,115,-98.8,20,18,0,30
130,165,-98.8,20,19,0,30
133,165,-95,20,19,0,30
134,115,-98.8,20,19,0,30
134,165,-98.8,20,20,0,30
137,165,-95,20,20,0,30
138,115,-98.8,20,20,0,30
138,165,-98.8,20,21,0,30
141,165,-95,20,21,0,30
142,115,-98.8,20,21,0,30
142,165,-98.8,20,22,0,30
145,165,-95,20,22,0,30
130,175,-98.8,20,22,0,30
130,225,-98.8,20,23,0,30
133,225,-95,20,23,0,30
134.5,175,-98.8,20,23,0,30
134.5,225,-98.8,20,24,0,30
137.5,225,-95,20,24,0,30
139,175,-98.8,20,24,0,30
139,225,-98.8,20,25,0,30
142,225,-95,20,25,0,30
143.5,175,-98.8,20,25,0,30
143.5,225,-98.8,20,26,0,30
146.5,225,-95,20,26,0,30
160,115,-98.8,20,26,0,30
160,165,-98.8,20,27,0,30
163,165,-95,20,27,0,30
165,115,-98.8,20,27,0,30
165,165,-98.8,20,28,0,30
168,165,-95,20,28,0,30
170,115,-98.8,20,28,0,30
170,165,-98.8,20,29,0,30
173,165,-95,20,29,0,30
175,115,-98.8,20,29,0,30
175,165,-98.8,20,30,0,30
178,165,-95,20,30,0,30
160,175,-98.8,20,30,0,30
160,225,-98.8,20,31,0,30
163,225,-95,20,31,0,30
165.5,175,-98.8,20,31,0,30
165.5,225,-98.8,20,32,0,30
168.5,225,-95,20,32,0,30
171,175,-98.8,20,32,0,30
171,225,-98.8,20,33,0,30
174,225,-95,20,33,0,30
176.5,175,-98.8,20,33,0,30
176.5,225,-98.8,20,34,0,30
179.5,225,-95,20,34,0,30
210,0,0,40,34,0,30
