Ref,Val,Package,PosX,PosY,Rot,Side
"A1","A4988","Pololu_Breakout-16_15.2x20.3mm",97.610000,-134.340000,90.000000,top
"A2","A4988","Pololu_Breakout-16_15.2x20.3mm",122.830000,-134.500000,90.000000,top
"A3","A4988","Pololu_Breakout-16_15.2x20.3mm",148.030000,-134.500000,90.000000,top
"A4","A4988","Pololu_Breakout-16_15.2x20.3mm",172.920000,-134.490000,90.000000,top
"A5","A4988","Pololu_Breakout-16_15.2x20.3mm",129.120000,-99.200000,90.000000,top
"C1","470u","CP_Radial_D10.0mm_P5.00mm",111.660000,-105.600000,-90.000000,top
"C2","22u","C_0805_2012Metric",179.700000,-96.000000,0.000000,top
"C3","10n","C_0603_1608Metric",173.000000,-108.225000,90.000000,top
"C4","10u","C_0805_2012Metric",170.500000,-113.450000,180.000000,top
"C5","100n","C_0603_1608Metric",165.000000,-112.450000,-90.000000,top
"C6","100n","C_0603_1608Metric",192.700000,-60.500000,-90.000000,top
"C7","10u","C_0805_2012Metric",163.300000,-75.500000,180.000000,top
"C8","100n","C_0603_1608Metric",163.800000,-52.400000,180.000000,top
"C9","100n","C_0603_1608Metric",163.800000,-54.000000,180.000000,top
"C10","100n","C_0603_1608Metric",163.250000,-57.500000,180.000000,top
"C11","100n","C_0603_1608Metric",168.495000,-66.440000,180.000000,top
"C12","100n","C_0603_1608Metric",180.500000,-65.975000,-90.000000,top
"C13","100n","C_0603_1608Metric",183.275000,-48.000000,0.000000,top
"C14","100n","C_0603_1608Metric",168.325000,-45.000000,0.000000,top
"C15","10n","C_0603_1608Metric",163.325000,-59.775000,90.000000,top
"C16","1u","C_0805_2012Metric",160.325000,-59.450000,90.000000,top
"C17","1u","C_0805_2012Metric",151.825000,-59.450000,90.000000,top
"C18","100u","CP_Elec_6.3x7.7",85.860000,-53.680000,0.000000,top
"C19","100u","CP_Elec_6.3x7.7",87.200000,-68.100000,180.000000,top
"C20","100n","C_0603_1608Metric",204.000000,-56.475000,-90.000000,top
"C21","10p","C_0402_1005Metric",158.325000,-53.980000,90.000000,top
"C22","10p","C_0402_1005Metric",158.325000,-56.020000,90.000000,top
"C23","100n","C_0603_1608Metric",107.750000,-48.500000,180.000000,top
"C24","2.2uF","C_0805_2012Metric",178.700000,-67.250000,-90.000000,top
"C25","2.2uF","C_0805_2012Metric",185.300000,-49.750000,0.000000,top
"C26","100n","C_0603_1608Metric",98.425000,-137.390000,0.000000,top
"C27","100n","C_0603_1608Metric",123.835000,-137.550000,0.000000,top
"C28","100n","C_0603_1608Metric",149.035000,-137.550000,0.000000,top
"C29","100n","C_0603_1608Metric",173.925000,-137.540000,0.000000,top
"C30","100n","C_0603_1608Metric",130.125000,-101.700000,0.000000,top
"C31","100u","CP_Elec_6.3x7.7",115.110000,-141.000000,180.000000,top
"C32","100u","CP_Elec_6.3x7.7",139.910000,-141.160000,180.000000,top
"C33","100u","CP_Elec_6.3x7.7",165.330000,-141.160000,180.000000,top
"C34","100u","CP_Elec_6.3x7.7",190.110000,-140.650000,180.000000,top
"C35","100u","CP_Elec_6.3x7.7",153.810000,-93.700000,0.000000,top
"C36","100n","C_0603_1608Metric",192.390000,-82.000000,180.000000,top
"C37","100n","C_0603_1608Metric",207.725000,-107.000000,0.000000,top
"C38","10u","C_0805_2012Metric",188.715000,-82.000000,0.000000,top
"C39","100n","C_0603_1608Metric",187.390000,-77.000000,0.000000,top
"C40","100n","C_0603_1608Metric",199.440000,-68.825000,0.000000,top
"C41","10u","C_0805_2012Metric",196.615000,-82.000000,180.000000,top
"C42","100n","C_0603_1608Metric",202.000000,-65.275000,90.000000,top
"C43","100n","C_0603_1608Metric",212.625000,-105.500000,0.000000,top
"C44","100n","C_0603_1608Metric",200.390000,-82.000000,0.000000,top
"C47","100n","C_0603_1608Metric",135.675000,-62.100000,0.000000,top
"C48","100u","CP_Elec_6.3x7.7",85.960000,-77.600000,0.000000,top
"C49","100u","CP_Elec_6.3x7.7",85.960000,-90.100000,0.000000,top
"Card1","TF-015","TF-SMD_TF-015",106.200000,-40.800000,180.000000,top
"D1","1N4744A","D_DO-41_SOD81_P10.16mm_Horizontal",96.160000,-105.100000,-90.000000,top
"D2","SMAJ16A","D_SMA",102.660000,-107.100000,-90.000000,top
"D3","SS34","D_SMA",174.500000,-114.450000,-90.000000,top
"D4","GREEN","LED_0805_2012Metric",196.500000,-116.750000,90.000000,top
"D5","BLUE","LED_0805_2012Metric",210.812500,-52.750000,0.000000,top
"D6","SMAJ16A","D_SMA",113.810000,-147.000000,180.000000,top
"D7","SMAJ16A","D_SMA",138.610000,-147.300000,180.000000,top
"D8","SMAJ16A","D_SMA",164.030000,-147.300000,180.000000,top
"D9","SMAJ16A","D_SMA",188.810000,-147.300000,180.000000,top
"D10","SMAJ16A","D_SMA",152.510000,-100.200000,0.000000,top
"D11","SMAJ16A","D_SMA",95.160000,-51.600000,0.000000,top
"FB1","120R","L_0805_2012Metric",155.762500,-60.500000,180.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",74.160000,-113.000000,-90.000000,top
"J2","Conn_01x07_Pin","PinHeader_1x07_P2.54mm_Vertical",143.010000,-50.750000,90.000000,top
"J3","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",159.920000,-64.250000,90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",185.000000,-42.820000,180.000000,top
"J5","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",180.600000,-37.740000,180.000000,top
"J6","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",189.400000,-40.250000,180.000000,top
"J15","USB_B_Micro","USB_Micro-B_Molex-105017-0001",215.262500,-49.750000,90.000000,top
"J16","Conn_02x05_Odd_Even","PinHeader_2x05_P2.54mm_Vertical_SMD",198.920000,-39.225000,-90.000000,top
"J17","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",105.960000,-147.140000,-90.000000,top
"J18","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",131.140000,-147.300000,-90.000000,top
"J19","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",156.530000,-147.300000,-90.000000,top
"J20","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",181.310000,-147.150000,-90.000000,top
"J21","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",142.050000,-105.700000,-90.000000,top
"J32","Screw_Terminal_01x05","TerminalBlock_Phoenix_PT-1,5-5-3.5-H_1x05_P3.50mm_Horizontal",209.000000,-79.500000,90.000000,top
"J33","Screw_Terminal_01x02","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",205.000000,-127.000000,-90.000000,top
